round,time_ms
1,4215
2,4011
3,4210
4,4215
5,4212
6,4418
7,4011
8,4213
9,4006
10,4210
11,4211
12,4212
13,4011
14,4212
15,4210
16,4213
17,4213
18,4007
19,4213
20,4012
21,4012
22,4411
23,4215
24,4421
25,4212
26,4007
27,4211
28,4008
29,4213
30,4008
31,4216
32,4414
33,4316
34,4007
35,4214
36,4214
37,4211
38,4213
39,4006
40,4212
41,4008
42,4213
43,4008
44,4830
45,4008
46,4212
47,4212
48,4213
49,4007
50,4213
51,4008
52,4219
53,4012
54,4212
55,4417
56,4213
57,4826
58,4215
59,4418
60,4215
61,4219
62,4212
63,4214
64,4211
65,4613
66,4008
67,4316
68,4213
69,4418
70,4008
71,4212
72,4007
73,4214
74,4008
75,4210
76,4220
77,4823
78,4215
79,4417
80,3957
81,4213
82,4423
83,4216
84,4423
85,4418
86,4211
87,4213
88,4215
89,4210
90,4212
91,4007
92,4212
93,4007
94,4423
95,4828
96,4215
97,4211
98,4214
99,4006
100,4213
101,4207
102,4425
103,4210
104,4214
105,4417
106,4520
107,4418
108,4006
109,4213
110,4009
111,4208
112,4212
113,4428
114,4012
115,4213
116,4007
117,4214
118,4009
119,4211
120,4418
121,4212
122,4213
123,4418
124,4212
125,4215
126,4211
127,4211
128,4213
129,4008
130,4213
131,4008
132,4212
133,4007
134,4829
135,4315
136,4213
137,4213
138,4008
139,4213
140,4419
141,4220
142,4212
143,4215
144,4213
145,4210
146,4007
147,4213
148,4007
149,4211
150,4008
